field id candels_id lwa lwa_hci lwa_modality Av Av_hci Av_modality Z Z_hci Z_modality lmass lmass_hci lmass_modality zgrism z_50 z_50_hci z_50_modality t_50 t_50_hci t_50_modality log_ssfr log_ssfr_hci log_ssfr_modality
GND 21724 15739 2.3669706679706257 "[2.053815024587105, 2.6749926122822854]" [0.] 0.249247340852932 "[0.18131323369098135, 0.44259826123694546]" [0.] 1.1019508034182661 "[0.8933761834992227, 1.2664930035766226]" [0.] 10.892598767044024 "[10.860659918056768, 10.91608321482877]" [0.] 1.1328961231271204 2.9358485589030137 "[2.42053939 3.2687337 ]" [0.] 3.1594278382372307 "[2.651627259301767, 3.4095342297534135]" [0.] -11.845066655879403 "[-12.268397251424904, -11.538305354759476]" [0.]
GND 22027 15874 2.7255644873679934 "[2.4902315229807037, 3.234392518475647]" [0.16350381] 0.0017142182429630121 "[0.0017142182429630121, 0.1685384046282024]" [0.] 1.2586151702601673 "[1.0592306034940282, 1.3084613119517023]" [0.13587838] 10.829680674453828 "[10.795003277961047, 10.859023086870796]" [0.] 1.1411016207505522 3.105503956682656 "[2.55383934 3.53530104]" [0.] 3.264323864906566 "[2.771452134482092, 3.548987702832727]" [0.] -12.152463844815028 "[-12.495716873700811, -11.829013875288041]" [0.]
GND 22210 15979 2.2259705716163296 "[1.959019339576274, 3.156692434674903]" [0.10042414] 0.0019388630859795359 "[0.0019388630859795359, 0.2664700252159645]" [0.03061913] 0.8398410185732472 "[0.5833920779311184, 1.0127279448488395]" [0.12388253] 10.274371527494438 "[10.23821110548014, 10.330621072850011]" [0.] 0.9743502364311512 2.5422902246624735 "[2.06646374 2.93767241]" [0.] 3.3960750586389734 "[2.787898800502225, 3.769117592547972]" [0.] -12.263406605880082 "[-12.70805771392303, -11.699296991198736]" [0.]
GND 22358 16232 3.7336220291202826 "[3.262185740163865, 4.1708962681523225]" [0.] 0.18248315069800294 "[0.13058843847191903, 0.2603252190371288]" [0.] 1.5187028645804777 "[1.3159646748079339, 1.5774675572681713]" [0.] 10.698730867236723 "[10.66614466092511, 10.72736723035905]" [0.] 0.7785645030568895 3.205001751555216 "[2.54085983 3.68488346]" [0.] 4.886921341538914 "[4.307886853030779, 5.183469316718086]" [0.] -11.536729777593916 "[-11.710491141684244, -11.354492249401623]" [0.]
GND 22774 16586 0.9900019260636999 "[0.8963404273138835, 1.2447612026632002]" [0.] 0.3462196751620102 "[0.22471047291602492, 0.4724023082636103]" [0.] 1.31507283614002 "[1.112217594973768, 1.5774322813817059]" [0.17821496] 11.08408507114273 "[11.060702442179048, 11.106493423899597]" [0.] 2.009939856912088 3.7436154568571065 "[3.34394484 4.11578748]" [0.] 1.601280865070967 "[1.367650614625905, 1.7790419914234943]" [0.] -11.366195796991345 "[-11.832083380440904, -10.985015046896253]" [0.]
GND 23435 16950 3.017657466812577 "[2.599830898750084, 3.3548508375296766]" [0.] 0.0018715235338835246 "[0.0018715235338835246, 0.059325183553914904]" [0.] 0.9779448572568554 "[0.7863000274551604, 1.0807109254113878]" [0.] 10.511112153253812 "[10.48703399821881, 10.544286500190925]" [0.] 1.1415647917994298 4.715753524146992 "[3.46662072 6.20049696]" [0.] 4.068132576692291 "[3.5063829431200126, 4.4372033530550326]" [0.] -11.767812226101025 "[-12.065033804639684, -11.464646215991593]" [0.]
GND 32566 23531 2.6275613913187925 "[2.4685742802847948, 3.071246352343901]" [0.] 0.002832488448285115 "[0.002832488448285115, 0.053849801853438184]" [2.69711541] 0.4013877635520288 "[0.2659395784708847, 0.5868928865979436]" [0.01153156] 10.805594412363327 "[10.780797013016954, 10.826797985717473]" [0.] 1.1479147339157432 3.6342037113961654 "[3.08065314 4.19923677]" [0.] 3.581676209745007 "[3.221876756066731, 3.85404454783285]" [0.] -11.951162257840737 "[-12.42552570159632, -11.617978410440985]" [0.]
GND 32691 23921 2.2583036254505666 "[1.8662849129877548, 2.7156587899905142]" [0.06210093] 0.23618917842758602 "[0.16347897762732178, 0.40584631362820256]" [0.] 1.2255520418621664 "[1.0760010424595299, 1.4484123546974677]" [0.50224925] 10.583067421908083 "[10.543673354806085, 10.620885726325998]" [0.] 1.516815755548939 7.031688826503745 "[ 5.0996482  10.98057408]" [0.] 3.4793910195665196 "[3.09234242716101, 3.8216954803704493]" [0.] -11.50790410844477 "[-11.977100816069001, -11.142973335848144]" [0.]
GND 32933 27438 1.0165928164864604 "[0.8405610725321787, 1.1522238323200873]" [0.] 0.3580407366398288 "[0.2605990690134077, 0.46859955183134505]" [0.] 1.0719527333968744 "[0.5638894471486364, 1.162275095396561]" [0.] 10.713966415279542 "[10.68490835994052, 10.747544612560187]" [0.] 2.1314106197065454 4.685783079700529 "[3.75628279 5.00282105]" [0.] 1.8126378049322085 "[1.4238975452234128, 1.9118470602040327]" [0.] -10.222209865952522 "[-10.486141073057102, -9.978979145679673]" [0.]
GND 33093 27320 1.3436766151853503 "[1.1185003691878292, 1.7584749630755208]" [0.26887358] 0.4547944534984615 "[0.24557145331224062, 0.6412758232296583]" [0.] 1.249264278427449 "[1.0618383027713307, 1.5538314888686413]" [0.] 10.882057063710745 "[10.860918314414185, 10.907766353395749]" [0.88477638] 1.53938848796829 3.459442255268776 "[2.93981044 4.37443142]" [0.] 2.355156218514487 "[1.985455038449944, 2.7995488273047213]" [0.] -11.486449657551727 "[-11.997682506388799, -11.124845935203556]" [0.]
